order_id,order_date,ship_date,ship_mode,customer_id
US-2011-148838,2011-03-17,2011-03-21,Standard Class,CP-12340
CA-2014-136497,2014-04-17,2014-04-21,Standard Class,RF-19840
US-2013-108637,2013-03-14,2013-03-19,Standard Class,AB-10060
CA-2011-102295,2011-11-24,2011-11-26,Second Class,EH-13990
CA-2014-123659,2014-02-11,2014-02-14,First Class,MN-17935
US-2013-129469,2013-09-24,2013-09-28,Standard Class,KL-16555
CA-2014-155152,2014-07-08,2014-07-10,Second Class,MP-17965
CA-2013-159940,2013-07-08,2013-07-12,Second Class,BF-11020
CA-2014-119669,2014-01-25,2014-01-31,Standard Class,TP-21130
US-2011-164616,2011-08-19,2011-08-21,Second Class,MS-17770
CA-2012-148628,2012-12-06,2012-12-11,Standard Class,KM-16375
CA-2013-118052,2013-05-07,2013-05-11,Standard Class,BE-11455
US-2014-117534,2014-03-26,2014-03-27,First Class,CV-12295
CA-2012-145065,2012-12-12,2012-12-15,First Class,DK-13375
US-2012-127040,2012-12-06,2012-12-10,Standard Class,SG-20605
CA-2013-128111,2013-03-18,2013-03-24,Standard Class,CS-12355
CA-2012-137897,2012-11-14,2012-11-19,Standard Class,PJ-18835
CA-2014-169264,2014-08-15,2014-08-17,Second Class,NP-18700
CA-2014-147361,2014-09-10,2014-09-16,Standard Class,SB-20290
CA-2014-145877,2014-04-02,2014-04-05,Second Class,AS-10090
US-2013-110170,2013-09-28,2013-10-04,Standard Class,HM-14860
CA-2014-108574,2014-10-08,2014-10-12,Standard Class,MG-18145
CA-2014-144589,2014-01-21,2014-01-26,Standard Class,TM-21010
CA-2014-155985,2014-03-24,2014-03-26,First Class,BE-11335
CA-2011-162684,2011-08-01,2011-08-06,Standard Class,AS-10630
CA-2012-142041,2012-06-07,2012-06-09,Second Class,EM-13810
CA-2011-151295,2011-11-12,2011-11-16,Standard Class,JA-15970
CA-2013-156300,2013-12-30,2014-01-03,Standard Class,TB-21595
CA-2012-146087,2012-07-06,2012-07-11,Standard Class,PP-18955
CA-2014-168655,2014-10-13,2014-10-19,Standard Class,ML-18040
CA-2013-107202,2013-05-22,2013-05-29,Standard Class,LC-16930
CA-2014-159597,2014-11-10,2014-11-15,Standard Class,MC-17590
CA-2013-155551,2013-04-19,2013-04-24,Standard Class,CR-12580
US-2014-147669,2014-12-26,2014-12-31,Standard Class,SV-20935
CA-2013-169922,2013-06-12,2013-06-18,Standard Class,MZ-17515
CA-2014-100748,2014-05-14,2014-05-21,Standard Class,RB-19795
CA-2014-129805,2014-12-29,2015-01-03,Standard Class,HM-14860
CA-2011-148586,2011-03-25,2011-04-01,Standard Class,AZ-10750
US-2014-112613,2014-05-29,2014-06-02,Standard Class,JH-15910
CA-2012-154746,2012-11-14,2012-11-17,First Class,PJ-18835
CA-2014-140053,2014-07-04,2014-07-11,Standard Class,CA-12265
CA-2011-164210,2011-11-18,2011-11-20,Second Class,PW-19240
CA-2014-139948,2014-07-18,2014-07-23,Standard Class,SW-20455
CA-2013-146934,2013-05-23,2013-05-28,Standard Class,AF-10870
CA-2012-100573,2012-09-25,2012-10-01,Standard Class,AM-10705
CA-2013-119165,2013-11-01,2013-11-07,Standard Class,BD-11320
CA-2012-128027,2012-09-14,2012-09-17,Second Class,CM-12385
CA-2013-140207,2013-11-06,2013-11-11,Standard Class,CS-12400
CA-2014-140949,2014-03-18,2014-03-23,Second Class,DB-13405
CA-2014-138548,2014-08-16,2014-08-22,Standard Class,JG-15160
CA-2012-142419,2012-07-11,2012-07-13,Second Class,SC-20380
CA-2014-148691,2014-12-04,2014-12-10,Standard Class,CS-12460
CA-2014-128755,2014-05-05,2014-05-09,Standard Class,MK-18160
US-2013-135923,2013-01-22,2013-01-28,Standard Class,CM-11935
CA-2013-114972,2013-11-04,2013-11-07,First Class,PF-19225
CA-2014-102750,2014-09-05,2014-09-09,Second Class,GM-14695
CA-2011-145212,2011-09-13,2011-09-19,Standard Class,DC-12850
CA-2014-141992,2014-06-20,2014-06-26,Standard Class,FO-14305
CA-2014-147956,2014-12-25,2015-01-01,Standard Class,AH-10210
CA-2014-126067,2014-08-29,2014-09-04,Standard Class,KN-16705
CA-2012-104514,2012-01-02,2012-01-04,Second Class,CB-12535
CA-2012-141040,2012-10-09,2012-10-13,Second Class,TB-21250
CA-2011-113579,2011-12-13,2011-12-15,Second Class,KD-16345
CA-2011-144624,2011-11-19,2011-11-23,Standard Class,JM-15865
CA-2013-146206,2013-09-11,2013-09-15,Second Class,KT-16480
CA-2011-136644,2011-06-16,2011-06-22,Standard Class,SC-20575
CA-2012-122371,2012-09-26,2012-10-01,Standard Class,BS-11800
CA-2013-126935,2013-05-20,2013-05-25,Standard Class,BT-11395
US-2014-133781,2014-06-23,2014-06-24,First Class,DC-12850
CA-2014-131618,2014-06-18,2014-06-21,First Class,LS-17200
CA-2013-149482,2013-11-15,2013-11-20,Standard Class,RR-19315
CA-2011-143917,2011-07-25,2011-07-27,Second Class,KL-16645
CA-2012-120397,2012-07-02,2012-07-02,Same Day,RB-19435
CA-2014-163902,2014-03-03,2014-03-09,Standard Class,MY-17380
CA-2013-136812,2013-11-19,2013-11-24,Standard Class,AW-10930
CA-2012-102722,2012-04-18,2012-04-19,First Class,KW-16570
CA-2014-155089,2014-12-03,2014-12-07,Standard Class,DB-12910
CA-2013-124506,2013-11-12,2013-11-18,Standard Class,BB-11545
CA-2011-106572,2011-09-05,2011-09-10,Standard Class,NP-18700
CA-2011-128888,2011-11-15,2011-11-22,Standard Class,PB-19105
CA-2014-123134,2014-05-03,2014-05-08,Standard Class,DW-13585
CA-2013-124352,2013-10-16,2013-10-22,Standard Class,CD-12790
CA-2012-124541,2012-04-06,2012-04-10,Standard Class,TT-21220
CA-2011-108707,2011-10-24,2011-10-29,Standard Class,DB-12910
CA-2011-111500,2011-08-17,2011-08-21,Standard Class,DJ-13510
US-2014-117723,2014-08-16,2014-08-19,Second Class,DL-13495
CA-2012-143238,2012-09-06,2012-09-08,First Class,LO-17170
CA-2012-168746,2012-01-27,2012-01-29,Second Class,SV-20365
CA-2012-113404,2012-07-16,2012-07-16,Same Day,EM-13810
CA-2013-144792,2013-05-01,2013-05-05,Standard Class,KD-16615
CA-2011-164385,2011-09-26,2011-10-01,Second Class,NB-18580
US-2013-114174,2013-09-09,2013-09-15,Standard Class,AP-10720
CA-2014-108070,2014-04-17,2014-04-21,Standard Class,JE-15745
US-2012-128090,2012-08-16,2012-08-22,Standard Class,JM-15865
CA-2014-101042,2014-11-20,2014-11-24,Standard Class,AB-10105
CA-2013-155439,2013-09-15,2013-09-19,Standard Class,PN-18775
CA-2013-118626,2013-08-16,2013-08-21,Standard Class,JC-15775
CA-2012-111458,2012-09-26,2012-09-30,Standard Class,PF-19165
US-2013-126844,2013-10-09,2013-10-15,Standard Class,BW-11110
US-2012-112508,2012-03-24,2012-03-30,Standard Class,BP-11185
CA-2012-147788,2012-05-31,2012-06-04,Standard Class,TM-21010
CA-2012-144288,2012-12-25,2012-12-31,Standard Class,MB-17305
CA-2012-110632,2012-03-17,2012-03-22,Second Class,HR-14830
CA-2014-109589,2014-12-22,2014-12-25,First Class,BD-11635
CA-2014-123967,2014-11-02,2014-11-04,Second Class,SF-20200
CA-2014-148929,2014-09-08,2014-09-12,Standard Class,SP-20620
CA-2014-134404,2014-12-28,2014-12-28,Same Day,DR-12880
CA-2014-109778,2014-07-17,2014-07-22,Standard Class,VM-21685
CA-2013-155845,2013-08-13,2013-08-16,Second Class,CM-12235
CA-2014-145128,2014-07-10,2014-07-15,Standard Class,SM-20320
CA-2011-129091,2011-11-22,2011-11-27,Standard Class,RA-19885
US-2011-155502,2011-01-27,2011-02-01,Standard Class,SD-20485
CA-2012-121041,2012-11-03,2012-11-10,Standard Class,CS-12250
CA-2014-131695,2014-07-01,2014-07-07,Standard Class,RA-19285
CA-2013-137729,2013-05-06,2013-05-10,Standard Class,BF-11005
US-2013-115455,2013-09-09,2013-09-15,Standard Class,SE-20110
CA-2014-128300,2014-11-25,2014-11-27,Second Class,RS-19765
CA-2014-149048,2014-05-14,2014-05-18,Standard Class,BM-11650
CA-2014-108553,2014-04-24,2014-04-30,Standard Class,SK-19990
CA-2013-165848,2013-06-05,2013-06-05,Same Day,EN-13780
CA-2011-112718,2011-12-16,2011-12-21,Standard Class,KN-16450
CA-2013-154053,2013-03-05,2013-03-11,Standard Class,MG-17890
CA-2011-127446,2011-11-25,2011-11-30,Standard Class,MC-17590
CA-2013-137204,2013-04-29,2013-05-06,Standard Class,BO-11350
CA-2011-147298,2011-04-26,2011-05-03,Standard Class,AG-10300
CA-2014-147942,2014-04-02,2014-04-06,Standard Class,MS-17365
CA-2014-115931,2014-12-23,2014-12-27,Standard Class,JM-15655
CA-2011-164861,2011-12-03,2011-12-06,Second Class,MC-17635
CA-2014-127180,2014-10-23,2014-10-25,First Class,TA-21385
US-2014-165344,2014-11-14,2014-11-16,First Class,SB-20290
CA-2012-168186,2012-09-10,2012-09-15,Standard Class,AB-10150
US-2014-110604,2014-05-16,2014-05-21,Standard Class,JF-15295
CA-2012-116750,2012-07-05,2012-07-10,Second Class,BF-10975
CA-2012-162369,2012-08-15,2012-08-19,Standard Class,TT-21265
CA-2014-108441,2014-06-13,2014-06-19,Standard Class,SB-20170
CA-2012-169740,2012-02-20,2012-02-25,Standard Class,LM-17065
CA-2013-124051,2013-12-30,2013-12-31,First Class,KA-16525
CA-2013-149111,2013-04-18,2013-04-22,Second Class,BF-11170
CA-2011-131002,2011-09-07,2011-09-12,Second Class,TB-21400
US-2013-146794,2013-09-27,2013-10-02,Standard Class,SH-19975
CA-2014-112515,2014-09-18,2014-09-22,Second Class,AS-10225
CA-2013-150343,2013-08-17,2013-08-21,Standard Class,PK-19075
CA-2012-135538,2012-12-24,2012-12-28,Standard Class,HR-14830
CA-2014-123372,2014-11-29,2014-12-03,Standard Class,DG-13300
CA-2014-159604,2014-04-15,2014-04-16,First Class,CL-12700
CA-2013-164784,2013-05-02,2013-05-05,First Class,HF-14995
CA-2013-111794,2013-10-02,2013-10-02,Same Day,HG-15025
US-2012-139759,2012-08-25,2012-08-30,Standard Class,NL-18310
CA-2011-126403,2011-09-09,2011-09-12,Second Class,RR-19525
CA-2014-136875,2014-12-04,2014-12-04,Same Day,TC-21295
CA-2014-132185,2014-11-28,2014-12-03,Standard Class,DB-13615
US-2011-160780,2011-06-21,2011-06-21,Same Day,SV-20785
CA-2014-127026,2014-01-22,2014-01-28,Standard Class,MH-18115
CA-2014-137085,2014-06-30,2014-07-07,Standard Class,CT-11995
CA-2013-133123,2013-09-07,2013-09-12,Standard Class,KB-16315
US-2013-128195,2013-08-05,2013-08-06,First Class,RA-19285
CA-2012-153220,2012-11-12,2012-11-14,First Class,YC-21895
CA-2011-123064,2011-06-30,2011-07-02,First Class,RA-19915
CA-2014-156412,2014-12-05,2014-12-09,Standard Class,CM-12160
US-2013-144211,2013-08-29,2013-09-03,Standard Class,CS-12130
CA-2013-138079,2013-01-22,2013-01-28,Standard Class,AJ-10795
CA-2011-143182,2011-10-15,2011-10-20,Standard Class,DL-12865
CA-2013-161662,2013-02-07,2013-02-09,First Class,BE-11410
CA-2011-145317,2011-03-18,2011-03-23,Standard Class,SM-20320
CA-2011-143413,2011-05-24,2011-05-30,Standard Class,RP-19390
CA-2014-156818,2014-07-12,2014-07-14,Second Class,JD-16015
CA-2014-155873,2014-06-17,2014-06-22,Standard Class,AB-10255
CA-2012-121797,2012-01-30,2012-02-06,Standard Class,CC-12145
US-2012-120572,2012-12-11,2012-12-15,Standard Class,GH-14425
CA-2014-132430,2014-10-10,2014-10-12,First Class,CP-12085
CA-2014-146031,2014-07-30,2014-08-02,Second Class,GM-14440
CA-2011-110100,2011-04-25,2011-04-29,Standard Class,LC-16885
CA-2012-103723,2012-12-01,2012-12-06,Standard Class,BT-11305
CA-2011-127187,2011-12-04,2011-12-08,Standard Class,CP-12085
CA-2014-128475,2014-08-27,2014-09-02,Standard Class,SC-20680
CA-2011-100006,2011-09-07,2011-09-13,Standard Class,DK-13375
CA-2014-144827,2014-12-22,2014-12-28,Standard Class,SE-20110
CA-2011-110030,2011-12-06,2011-12-08,Second Class,LF-17185
CA-2011-121286,2011-11-04,2011-11-08,Second Class,ON-18715
CA-2013-164735,2013-04-15,2013-04-20,Second Class,TB-21400
CA-2011-153479,2011-10-04,2011-10-08,Standard Class,DF-13135
CA-2014-149888,2014-11-08,2014-11-14,Standard Class,EP-13915
CA-2014-119193,2014-12-23,2014-12-25,First Class,SK-19990
CA-2014-104801,2014-02-14,2014-02-20,Standard Class,FH-14350
CA-2011-107594,2011-07-02,2011-07-06,Standard Class,EH-13945
CA-2012-129770,2012-02-21,2012-02-23,Second Class,JE-15715
CA-2012-115798,2012-11-13,2012-11-19,Standard Class,KL-16645
CA-2014-122707,2014-04-17,2014-04-19,First Class,EB-13750
CA-2013-165015,2013-02-25,2013-02-27,Second Class,BD-11725
CA-2011-149244,2011-11-04,2011-11-08,Standard Class,MS-17530
CA-2012-140144,2012-06-20,2012-06-25,Second Class,SC-20770
CA-2014-163321,2014-08-08,2014-08-12,Second Class,FM-14380
CA-2011-155887,2011-05-12,2011-05-17,Standard Class,KT-16480
US-2012-165449,2012-11-22,2012-11-26,Standard Class,AP-10720
CA-2012-110247,2012-12-04,2012-12-08,Standard Class,RH-19555
US-2011-141257,2011-06-08,2011-06-14,Standard Class,CS-11950
CA-2011-154669,2011-08-08,2011-08-11,Second Class,TM-21010
CA-2011-158029,2011-05-26,2011-05-30,Standard Class,HF-14995
CA-2012-155306,2012-04-17,2012-04-21,Standard Class,GA-14515
CA-2013-127775,2013-06-12,2013-06-14,Second Class,ES-14020
CA-2013-146171,2013-03-12,2013-03-16,Standard Class,JP-16135
CA-2011-129574,2011-05-26,2011-05-29,First Class,Dp-13240
CA-2014-126536,2014-10-13,2014-10-15,First Class,NK-18490
CA-2014-165757,2014-06-23,2014-06-29,Standard Class,PL-18925
CA-2014-167752,2014-01-16,2014-01-19,First Class,RW-19690
US-2012-122140,2012-04-02,2012-04-07,Standard Class,MO-17950
CA-2013-163986,2013-09-04,2013-09-11,Standard Class,JJ-15445
CA-2014-158967,2014-12-11,2014-12-13,First Class,BT-11680
CA-2013-131576,2013-11-23,2013-11-27,Standard Class,RD-19585
CA-2014-143455,2014-11-12,2014-11-19,Standard Class,ML-17755
CA-2013-144729,2013-10-22,2013-10-26,Standard Class,JE-15745
CA-2012-127019,2012-12-21,2012-12-25,Standard Class,ER-13855
CA-2012-138534,2012-07-17,2012-07-19,Second Class,JM-15535
CA-2014-108322,2014-05-01,2014-05-06,Standard Class,SS-20140
CA-2014-167668,2014-05-07,2014-05-09,First Class,TC-21295
CA-2014-146724,2014-11-21,2014-11-28,Standard Class,HG-15025
CA-2013-139878,2013-11-12,2013-11-17,Standard Class,LD-17005
US-2013-106677,2013-11-06,2013-11-11,Standard Class,AS-10285
CA-2013-116974,2013-10-10,2013-10-16,Standard Class,MP-17965
CA-2012-149972,2012-09-21,2012-09-23,First Class,CD-12790
US-2011-117744,2011-12-02,2011-12-06,Standard Class,MD-17860
CA-2011-125514,2011-09-21,2011-09-22,First Class,BM-11650
CA-2011-154599,2011-04-12,2011-04-17,Standard Class,KN-16450
CA-2014-158743,2014-10-21,2014-10-28,Standard Class,IG-15085
CA-2013-153318,2013-10-26,2013-10-29,First Class,JS-15595
US-2012-110163,2012-11-01,2012-11-04,First Class,GA-14725
CA-2014-143329,2014-11-04,2014-11-09,Standard Class,DL-13330
CA-2012-159380,2012-05-12,2012-05-16,Standard Class,CS-12505
CA-2012-122623,2012-09-07,2012-09-11,Standard Class,CC-12145
CA-2012-148635,2012-07-25,2012-07-27,Second Class,MH-18025
CA-2012-135685,2012-11-16,2012-11-18,Second Class,MP-18175
CA-2012-104626,2012-09-01,2012-09-08,Standard Class,DR-12940
CA-2013-160500,2013-05-06,2013-05-09,First Class,DM-13015
CA-2014-100202,2014-01-01,2014-01-06,Standard Class,BD-11620
CA-2014-131016,2014-09-19,2014-09-21,First Class,DC-12850
US-2011-112914,2011-09-25,2011-09-30,Standard Class,MT-18070
CA-2013-124149,2013-04-24,2013-04-27,First Class,MJ-17740
CA-2011-148915,2011-11-01,2011-11-05,Standard Class,ND-18370
CA-2014-134649,2014-01-27,2014-02-01,Second Class,CA-11965
CA-2014-110842,2014-11-12,2014-11-17,Standard Class,GA-14725
CA-2013-147368,2013-06-10,2013-06-13,First Class,TC-21295
US-2012-104185,2012-09-03,2012-09-08,Second Class,JB-15400
US-2011-125521,2011-03-14,2011-03-19,Standard Class,CK-12325
US-2014-135062,2014-09-01,2014-09-05,Second Class,RL-19615
CA-2014-135650,2014-03-24,2014-03-28,Standard Class,AC-10660
CA-2014-112865,2014-05-19,2014-05-23,Standard Class,BH-11710
US-2013-162852,2013-12-28,2014-01-01,Standard Class,BG-11695
CA-2014-138163,2014-11-18,2014-11-21,First Class,XP-21865
CA-2014-152093,2014-09-11,2014-09-16,Standard Class,SN-20560
CA-2014-157854,2014-04-09,2014-04-16,Standard Class,DM-13345
CA-2013-123617,2013-11-29,2013-12-04,Standard Class,AJ-10780
US-2013-128293,2013-06-03,2013-06-06,First Class,KC-16255
CA-2014-107342,2014-12-18,2014-12-23,Standard Class,VF-21715
CA-2013-136371,2013-03-20,2013-03-22,Second Class,SV-20935
CA-2014-137344,2014-08-21,2014-08-21,Same Day,EM-13810
CA-2014-169810,2014-07-26,2014-08-01,Standard Class,RB-19360
CA-2013-128594,2013-08-27,2013-08-30,First Class,DJ-13510
CA-2013-154690,2013-08-16,2013-08-18,Second Class,CC-12370
CA-2014-138975,2014-05-20,2014-05-24,Standard Class,SC-20380
CA-2014-106537,2014-08-13,2014-08-18,Standard Class,RH-19495
US-2014-103828,2014-08-14,2014-08-14,Same Day,JK-15370
CA-2013-115588,2013-11-11,2013-11-13,Second Class,AF-10885
CA-2014-143861,2014-06-13,2014-06-20,Standard Class,LC-16885
CA-2011-148040,2011-03-22,2011-03-26,Standard Class,BF-11275
CA-2014-135167,2014-06-16,2014-06-21,Standard Class,SC-20800
CA-2014-137022,2014-11-17,2014-11-23,Standard Class,SW-20275
US-2014-102638,2014-12-30,2015-01-01,First Class,MC-17845
US-2013-167339,2013-01-21,2013-01-23,Second Class,TD-20995
CA-2013-152072,2013-01-15,2013-01-19,Standard Class,Dp-13240
CA-2013-102932,2013-09-20,2013-09-24,Second Class,SD-20485
CA-2011-165540,2011-02-22,2011-02-26,Standard Class,TM-21010
CA-2013-130799,2013-11-12,2013-11-17,Second Class,BK-11260
CA-2013-164483,2013-01-30,2013-02-03,Standard Class,JF-15490
US-2013-159856,2013-10-19,2013-10-23,Standard Class,EP-13915
CA-2014-102099,2014-12-19,2014-12-20,First Class,EP-13915
CA-2014-164049,2014-11-03,2014-11-07,Standard Class,KH-16630
CA-2011-142727,2011-04-29,2011-05-01,Second Class,HG-14845
CA-2014-139913,2014-10-24,2014-10-30,Standard Class,JC-16105
CA-2011-169033,2011-03-30,2011-04-03,Standard Class,KM-16720
US-2013-164630,2013-01-04,2013-01-09,Standard Class,EB-13975
US-2012-114839,2012-04-26,2012-04-30,Standard Class,PW-19240
CA-2012-166464,2012-09-12,2012-09-17,Standard Class,PG-18895
CA-2014-124898,2014-09-12,2014-09-16,Standard Class,DB-12910
CA-2013-164035,2013-06-13,2013-06-18,Standard Class,CR-12730
CA-2013-153577,2013-06-28,2013-07-02,Standard Class,KH-16330
CA-2011-127586,2011-09-26,2011-09-30,Standard Class,CS-12400
CA-2014-121615,2014-11-04,2014-11-10,Standard Class,DL-12925
CA-2014-166415,2014-02-20,2014-02-24,Standard Class,ME-17725
CA-2012-118444,2012-11-05,2012-11-09,Standard Class,VD-21670
CA-2011-113929,2011-06-16,2011-06-21,Standard Class,CK-12205
CA-2012-134747,2012-10-12,2012-10-17,Second Class,DL-12925
CA-2014-155047,2014-08-28,2014-08-31,First Class,SE-20110
CA-2013-160129,2013-11-24,2013-11-24,Same Day,LS-17200
CA-2014-164329,2014-01-31,2014-01-31,Same Day,MM-17920
US-2012-141453,2012-11-30,2012-12-03,Second Class,DB-13270
CA-2011-156993,2011-06-28,2011-07-04,Standard Class,RW-19630
CA-2011-157721,2011-09-02,2011-09-05,First Class,JM-16195
CA-2014-128629,2014-07-11,2014-07-15,Second Class,BP-11155
CA-2014-158106,2014-06-05,2014-06-11,Standard Class,CT-11995
US-2014-120390,2014-10-20,2014-10-27,Standard Class,TH-21550
CA-2014-143434,2014-11-19,2014-11-25,Standard Class,ME-17320
CA-2012-168564,2012-08-08,2012-08-08,Same Day,TT-21220
US-2013-169040,2013-12-07,2013-12-13,Standard Class,GT-14710
CA-2014-155880,2014-03-26,2014-04-01,Standard Class,JD-16150
CA-2014-126242,2014-11-20,2014-11-25,Standard Class,MC-18100
CA-2013-166443,2013-11-05,2013-11-06,First Class,LH-17020
CA-2014-169859,2014-12-15,2014-12-19,Standard Class,MP-18175
CA-2014-134915,2014-11-13,2014-11-13,Same Day,EM-14140
CA-2013-153353,2013-08-19,2013-08-25,Standard Class,GG-14650
CA-2014-123638,2014-06-28,2014-07-05,Standard Class,MA-17995
CA-2014-168900,2014-05-05,2014-05-10,Standard Class,SH-20395
CA-2012-158456,2012-12-24,2012-12-29,Standard Class,KT-16465
CA-2014-143665,2014-04-27,2014-05-02,Standard Class,PO-19180
CA-2014-137428,2014-12-17,2014-12-22,Second Class,AY-10555
CA-2011-162866,2011-12-27,2011-12-31,Standard Class,Co-12640
CA-2014-167941,2014-11-07,2014-11-10,Second Class,JF-15565
CA-2014-111808,2014-12-17,2014-12-21,Standard Class,AR-10510
CA-2012-137512,2012-05-07,2012-05-12,Standard Class,AG-10675
CA-2014-139773,2014-12-05,2014-12-05,Same Day,DV-13045
CA-2014-134607,2014-10-04,2014-10-09,Second Class,HL-15040
CA-2011-109232,2011-01-14,2011-01-17,Second Class,ND-18370
CA-2012-139850,2012-06-12,2012-06-17,Standard Class,GB-14575
CA-2011-131310,2011-07-12,2011-07-18,Standard Class,CL-12565
US-2011-112872,2011-12-06,2011-12-11,Second Class,RC-19960
CA-2013-139269,2013-05-26,2013-05-31,Standard Class,JB-16045
CA-2013-139010,2013-02-21,2013-02-26,Second Class,MC-17635
CA-2013-134376,2013-10-03,2013-10-07,Standard Class,TT-21265
CA-2014-147291,2014-03-12,2014-03-18,Standard Class,MJ-17740
CA-2013-112893,2013-09-10,2013-09-14,Second Class,AT-10735
US-2011-150532,2011-07-14,2011-07-21,Standard Class,PB-19150
CA-2011-138317,2011-06-21,2011-06-25,Standard Class,NW-18400
CA-2012-130610,2012-07-05,2012-07-10,Standard Class,VP-21730
CA-2014-104381,2014-12-17,2014-12-24,Standard Class,RD-19810
CA-2013-131499,2013-09-09,2013-09-11,First Class,MG-17875
CA-2011-148761,2011-05-17,2011-05-21,Standard Class,PA-19060
CA-2014-116519,2014-10-14,2014-10-16,First Class,CR-12730
CA-2011-130729,2011-10-24,2011-10-29,Standard Class,AA-10375
CA-2013-124772,2013-12-06,2013-12-07,First Class,JG-15160
CA-2013-115525,2013-07-26,2013-07-30,Standard Class,RR-19525
CA-2014-134845,2014-04-18,2014-04-24,Standard Class,SR-20425
US-2012-138919,2012-09-17,2012-09-21,Standard Class,LS-16975
US-2013-160528,2013-08-24,2013-08-31,Standard Class,MH-18115
CA-2012-123568,2012-11-08,2012-11-14,Standard Class,SC-20095
CA-2014-124674,2014-11-18,2014-11-24,Standard Class,JB-16000
CA-2012-164441,2012-11-08,2012-11-13,Standard Class,AC-10450
CA-2014-169054,2014-04-23,2014-04-27,Standard Class,MO-17800
CA-2011-106719,2011-08-24,2011-08-24,Same Day,RB-19645
CA-2014-116855,2014-12-18,2014-12-22,Standard Class,AI-10855
US-2013-164189,2013-03-25,2013-03-29,Standard Class,DR-12880
CA-2012-168480,2012-09-21,2012-09-27,Standard Class,DM-12955
US-2013-114293,2013-11-22,2013-11-27,Standard Class,JH-16180
CA-2014-134173,2014-09-17,2014-09-22,Standard Class,AB-10060
US-2012-123960,2012-06-11,2012-06-16,Standard Class,BD-11605
CA-2014-101749,2014-10-04,2014-10-09,Standard Class,AS-10045
US-2013-147991,2013-05-06,2013-05-10,Standard Class,ZD-21925
CA-2014-149559,2014-09-12,2014-09-13,Same Day,KF-16285
CA-2012-135174,2012-04-30,2012-05-02,Second Class,BP-11230
CA-2014-125290,2014-11-07,2014-11-11,Second Class,CC-12430
CA-2011-137351,2011-09-30,2011-10-04,Standard Class,DB-13615
CA-2014-121419,2014-04-03,2014-04-05,First Class,TC-21475
US-2014-148054,2014-10-07,2014-10-12,Standard Class,NZ-18565
CA-2013-128517,2013-04-10,2013-04-15,Second Class,SW-20350
US-2012-100377,2012-08-28,2012-09-01,Standard Class,TS-21370
CA-2014-131492,2014-10-20,2014-10-25,Second Class,HH-15010
CA-2013-144554,2013-11-08,2013-11-13,Standard Class,DM-13345
CA-2014-127621,2014-03-04,2014-03-08,Standard Class,RE-19450
CA-2012-145184,2012-11-27,2012-11-29,First Class,JD-16150
CA-2014-106859,2014-03-14,2014-03-19,Second Class,BF-11215
US-2014-120089,2014-12-01,2014-12-01,Same Day,ML-17755
CA-2011-119375,2011-11-17,2011-11-22,Standard Class,YC-21895
CA-2013-125206,2013-01-03,2013-01-05,First Class,LR-16915
CA-2012-126137,2012-10-03,2012-10-08,Standard Class,BS-11755
CA-2011-143903,2011-07-20,2011-07-24,Standard Class,KM-16375
CA-2011-104780,2011-05-21,2011-05-25,Standard Class,BT-11530
CA-2014-101182,2014-09-05,2014-09-06,First Class,KB-16405
US-2014-132297,2014-05-28,2014-06-03,Standard Class,DW-13480
CA-2011-100328,2011-01-29,2011-02-04,Standard Class,JC-15340
CA-2014-118773,2014-02-10,2014-02-15,Standard Class,TP-21415
US-2014-159205,2014-04-01,2014-04-03,Second Class,DB-12910
CA-2013-112123,2013-03-04,2013-03-09,Standard Class,BH-11710
CA-2012-114468,2012-08-23,2012-08-23,Same Day,TD-20995
CA-2014-135692,2014-04-28,2014-05-02,Standard Class,CV-12805
CA-2014-131233,2014-04-15,2014-04-20,Standard Class,CS-12355
CA-2014-119578,2014-12-23,2014-12-28,Second Class,JG-15310
CA-2013-124562,2013-12-09,2013-12-13,Standard Class,JP-16135
US-2014-140074,2014-03-24,2014-03-30,Standard Class,EC-14050
CA-2013-103037,2013-07-26,2013-07-30,Standard Class,KH-16630
CA-2014-127460,2014-07-11,2014-07-15,Standard Class,FG-14260
CA-2013-121671,2013-07-18,2013-07-23,Standard Class,AA-10480
CA-2013-150350,2013-08-24,2013-08-31,Standard Class,MS-17770
CA-2012-121720,2012-06-11,2012-06-12,First Class,JE-15610
CA-2014-149895,2014-09-09,2014-09-13,Standard Class,EB-14110
CA-2014-147564,2014-10-03,2014-10-07,Standard Class,BP-11155
CA-2011-136399,2011-12-16,2011-12-17,First Class,CC-12100
CA-2011-107916,2011-08-24,2011-08-26,First Class,JP-15460
CA-2014-164168,2014-11-13,2014-11-19,Standard Class,LS-16975
CA-2012-112557,2012-04-25,2012-04-28,First Class,JL-15850
US-2011-122959,2011-12-12,2011-12-12,Same Day,CY-12745
CA-2014-162572,2014-09-26,2014-09-28,Second Class,RB-19360
US-2013-148110,2013-09-06,2013-09-12,Standard Class,AR-10825
CA-2014-131828,2014-02-12,2014-02-14,Second Class,CS-11845
CA-2011-109218,2011-06-30,2011-07-03,Second Class,AR-10825
CA-2013-120558,2013-06-08,2013-06-11,First Class,RD-19810
US-2011-109036,2011-12-20,2011-12-25,Standard Class,KH-16510
CA-2012-147830,2012-12-15,2012-12-18,First Class,NF-18385
CA-2014-150497,2014-07-21,2014-07-25,Standard Class,SM-20950
